chunk_id,question
cc-720,Quand une succession commence-t-elle après le décès d'une personne ?
cc-720,Où se déroule l'ouverture d'une succession après la mort d'un héritier ?
cc-721,Que se passe-t-il si le défunt n'a pas laissé de testament pour ses biens ?
cc-721,Comment les biens d'une personne décédée sont-ils répartis entre les héritiers ?
cc-722,Peut-on faire des accords sur une succession avant qu'elle ne soit ouverte ?
cc-722,Est-il possible de renoncer à des droits sur une succession à l'avance ?
cc-724,Qui reçoit automatiquement les biens d'une personne décédée selon la loi ?
cc-724,Que se passe-t-il si aucune personne n'est désignée pour hériter ?
cc-724-1,Quelles règles s'appliquent aux personnes qui reçoivent des biens par héritage ou donation ?
cc-724-1,Est-ce que les héritiers ont des options spécifiques concernant le partage des biens ?
cc-725,Est-ce que je peux hériter si je n'étais pas encore né au moment du décès ?
cc-725,Quelles sont les conditions pour être reconnu comme héritier dans une succession ?
cc-726,Est-ce qu'une personne condamnée pour avoir blessé le défunt peut hériter ?
cc-726,Qui ne peut pas hériter d'une succession si le défunt a été victime de violence ?
cc-728,Est-ce qu'un héritier peut hériter même s'il a commis des actes répréhensibles ?
cc-728,Un testament peut-il permettre à un héritier indigne de recevoir sa part d'héritage ?
cc-729,Que se passe-t-il si un héritier est jugé indigne de recevoir sa part ?
cc-729,Un héritier exclu doit-il rembourser ce qu'il a reçu depuis le décès ?
cc-730,Comment puis-je prouver que je suis l'héritier de mon grand-parent ?
cc-730,Quels documents peuvent m'aider à confirmer ma qualité d'héritier ?
cc-725-1,Que se passe-t-il si deux héritiers meurent en même temps dans un accident ?
cc-725-1,Les enfants d'un héritier décédé peuvent-ils hériter à sa place ?
cc-729-1,Est-ce que les enfants d'une personne indigne peuvent hériter malgré les actions de leur parent ?
cc-729-1,Les droits d'héritage des enfants sont-ils affectés par la faute de leur parent indigne ?
cc-730-2,Est-ce que le document de notoriété signifie que j'accepte automatiquement l'héritage ?
cc-730-2,Puis-je être considéré comme héritier sans avoir accepté la succession ?
cc-730-3,Comment prouver que je suis bien un héritier dans une succession ?
cc-730-3,L'acte de notoriété est-il suffisant pour confirmer mes droits d'héritier ?
cc-730-4,Comment puis-je prouver que je suis héritier pour accéder aux biens de la succession ?
cc-730-4,Est-ce que les héritiers peuvent gérer les biens de la succession sans autorisation supplémentaire ?
cc-730-5,Que se passe-t-il si quelqu'un utilise un document faux pour se faire passer pour un héritier ?
cc-730-5,Quelles sont les conséquences pour une personne qui ment sur son statut d'héritier ?
cc-731,Qui a le droit de recevoir l'héritage quand une personne décède ?
cc-731,Comment la loi décide-t-elle qui hérite d'une personne décédée ?
cc-732,Est-ce que mon grand-parent peut hériter s'il n'était pas divorcé de son conjoint ?
cc-732,Un conjoint qui reste marié peut-il recevoir une part d'héritage après le décès ?
cc-733,"Est-ce que tous les parents, qu'ils soient biologiques ou adoptifs, peuvent hériter de la même manière ?"
cc-733,Les règles de succession sont-elles différentes selon que l'on est un parent adoptif ou biologique ?
cc-734,Qui héritera si un défunt n'a pas de conjoint survivant ?
cc-734,Comment se classe la famille dans l'ordre des héritiers en l'absence de conjoint ?
cc-735,"Est-ce que les petits-enfants héritent de leurs grands-parents, même s'ils ont des parents issus de différents mariages ?"
cc-735,"Tous les enfants, peu importe leur sexe, ont-ils les mêmes droits pour hériter de leurs parents ?"
cc-736,Que se passe-t-il si la personne décédée n'a pas d'enfants ni de frères ou sœurs ?
cc-736,Qui hérite de la succession si le défunt n'a pas de descendants directs ?
cc-737,"Si mes grands-parents sont décédés, qui hérite de leurs biens si aucun enfant n'est vivant ?"
cc-737,Que se passe-t-il pour l'héritage si le défunt n'a pas d'enfants et que ses parents sont décédés ?
cc-738,Comment se divise la succession lorsque les deux parents du défunt sont encore en vie ?
cc-738,Que se passe-t-il si un seul des parents du défunt est vivant ?
cc-739,Que se passe-t-il si la personne décédée n'a pas d'héritiers proches ?
cc-739,Qui peut hériter si les parents du défunt ne sont pas disponibles ?
cc-740,Que se passe-t-il si le défunt n'a pas d'héritiers directs comme des enfants ou un conjoint ?
cc-740,À qui revient la succession si le défunt n'a ni frères ni sœurs ?
cc-741,Comment savoir quel héritier a le droit de recevoir une part de la succession ?
cc-741,Qu'est-ce qui détermine la proximité entre les héritiers dans une succession ?
cc-742,Qu'est-ce que la ligne directe entre membres d'une famille dans le cadre d'une succession ?
cc-742,Comment se définissent les relations entre héritiers qui ne descendent pas les uns des autres ?
cc-744,Qu'est-ce qui arrive si plusieurs héritiers sont au même niveau de parenté ?
cc-744,Comment se passe le partage des biens entre héritiers proches et éloignés ?
cc-746,Comment se répartissent les droits d'héritage entre les familles du père et de la mère ?
cc-746,Quelles sont les différences dans le partage des biens entre les héritiers paternels et maternels ?
cc-747,Comment se répartit la succession entre les grands-parents paternels et maternels ?
cc-747,"Si mes grands-parents héritent, comment se fait la division de l'héritage ?"
cc-748,Comment se fait le partage de l'héritage entre les grands-parents paternels et maternels ?
cc-748,Que se passe-t-il si un côté de la famille n'a pas d'ascendants présents ?
cc-749,Comment se répartit une succession entre les membres de la famille éloignée ?
cc-749,"Si je ne suis pas le descendant direct, comment ma part de l’héritage est-elle calculée ?"
cc-750,Comment se passe le partage de l'héritage si je n'ai pas de cousins dans ma famille ?
cc-750,Qui hérite en priorité si plusieurs membres de la famille sont concernés par la succession ?
cc-751,Que signifie la représentation dans le cadre d'une succession ?
cc-751,Comment les représentants d'un héritier peuvent-ils bénéficier de la succession ?
cc-752,Comment se passe le partage des biens si un des enfants du défunt est décédé ?
cc-752,Les petits-enfants peuvent-ils hériter si leur parent n'est plus là ?
